[22:31:44] 提交任务 [happyhorse-1.1-r2v] (duration=12s, res=1080P, neg=361chars, refs=5)
[22:31:45]   request_id = 642d2182-ed96-462a-980e-b86d2d3e9500, 初始状态 = queued
[22:31:46]   状态: queued
[22:31:56]   状态: processing
[22:32:06]   状态: processing
[22:32:16]   状态: processing
[22:32:26]   状态: processing
[22:32:37]   状态: processing
[22:32:47]   状态: processing
[22:32:57]   状态: processing
[22:33:08]   状态: processing
[22:33:18]   状态: processing
[22:33:29]   状态: processing
[22:33:39]   状态: processing
[22:33:49]   状态: processing
[22:33:59]   状态: processing
[22:34:09]   状态: processing
[22:34:20]   状态: processing
[22:34:30]   状态: processing
[22:34:40]   状态: processing
[22:34:50]   状态: processing
[22:35:01]   状态: processing
[22:35:11]   状态: processing
[22:35:21]   状态: processing
[22:35:31]   状态: processing
[22:35:41]   状态: processing
[22:35:52]   状态: processing
[22:36:02]   状态: processing
[22:36:12]   状态: processing
[22:36:22]   状态: processing
[22:36:32]   状态: processing
[22:36:43]   状态: processing
[22:36:53]   状态: processing
[22:37:03]   状态: processing
[22:37:13]   状态: processing
[22:37:23]   状态: processing
[22:37:34]   状态: processing
[22:37:44]   状态: processing
[22:37:54]   状态: processing
[22:38:04]   状态: processing
[22:38:15]   状态: processing
[22:38:25]   状态: processing
[22:38:35]   状态: processing
[22:38:45]   状态: processing
[22:38:56]   状态: processing
[22:39:06]   状态: processing
[22:39:16]   状态: processing
[22:39:26]   状态: processing
[22:39:37]   状态: processing
[22:39:47]   状态: processing
[22:39:57]   状态: processing
[22:40:07]   状态: processing
[22:40:18]   状态: processing
[22:40:28]   状态: processing
[22:40:38]   状态: processing
[22:40:48]   状态: processing
[22:40:59]   状态: processing
[22:41:09]   状态: processing
[22:41:19]   状态: processing
[22:41:29]   状态: processing
[22:41:40]   状态: processing
[22:41:50]   状态: processing
[22:42:00]   状态: processing
[22:42:10]   状态: processing
[22:42:20]   状态: processing
[22:42:31]   状态: processing
[22:42:41]   状态: processing
[22:42:51]   状态: processing
[22:43:01]   状态: processing
[22:43:11]   状态: processing
[22:43:22]   状态: success
[22:43:22] 下载到 /Users/stevensmac/GMI Wolf/output/wave2/S07_v3.mp4
[22:43:22]   完成 (12.50 MB)
[22:43:22] 尾帧已保存: /Users/stevensmac/GMI Wolf/output/wave2/frames/S07_v3_last.png
[22:43:22] 耗时 698s
