[23:23:31] 提交任务 [happyhorse-1.1-i2v] (duration=10s, res=1080P, neg=297chars, first_frame=base64)
[23:23:42]   request_id = 8ae5ae86-031f-47e4-a4e6-7fa87386b159, 初始状态 = queued
[23:23:43]   状态: queued
[23:23:55]   状态: processing
[23:24:08]   状态: processing
[23:24:19]   状态: processing
[23:24:30]   状态: processing
[23:24:40]   状态: processing
[23:24:51]   状态: processing
[23:25:03]   状态: processing
[23:25:15]   状态: processing
[23:25:26]   状态: processing
[23:25:37]   状态: processing
[23:25:48]   状态: processing
[23:26:00]   状态: processing
[23:26:13]   状态: processing
[23:26:25]   状态: processing
[23:26:37]   状态: processing
[23:26:48]   状态: processing
[23:26:58]   状态: processing
[23:27:10]   状态: processing
[23:27:21]   状态: processing
[23:27:32]   状态: processing
[23:27:45]   状态: processing
[23:27:56]   状态: processing
[23:28:06]   状态: processing
[23:28:19]   状态: processing
[23:28:30]   状态: processing
[23:28:41]   状态: processing
[23:28:52]   状态: processing
[23:29:05]   状态: processing
[23:29:16]   状态: processing
[23:29:29]   状态: processing
[23:29:40]   状态: processing
[23:29:52]   状态: processing
[23:30:04]   状态: processing
[23:30:14]   状态: processing
[23:30:25]   状态: processing
[23:30:36]   状态: processing
[23:30:47]   状态: processing
[23:30:58]   状态: processing
[23:31:10]   状态: processing
[23:31:22]   状态: processing
[23:31:32]   状态: processing
[23:31:43]   状态: processing
[23:31:54]   状态: processing
[23:32:06]   状态: processing
[23:32:18]   状态: processing
[23:32:29]   状态: processing
[23:32:40]   状态: processing
[23:32:52]   状态: success
[23:32:52] 下载到 /Users/stevensmac/GMI Wolf/output/wave2/S08_v1.mp4
[23:32:53]   完成 (4.64 MB)
[23:32:53] 尾帧已保存: /Users/stevensmac/GMI Wolf/output/wave2/frames/S08_v1_last.png
[23:32:53] 耗时 561s
