[00:13:04] 提交任务 [happyhorse-1.1-i2v] (duration=12s, res=1080P, neg=226chars, first_frame=base64)
[00:13:15]   request_id = 6a439266-fb66-4e7c-8e9a-f03225beef6d, 初始状态 = queued
[00:13:16]   状态: queued
[00:13:28]   状态: processing
[00:13:39]   状态: processing
[00:13:50]   状态: processing
[00:14:02]   状态: processing
[00:14:15]   状态: processing
[00:14:25]   状态: processing
[00:14:37]   状态: processing
[00:14:51]   状态: processing
[00:15:04]   状态: processing
[00:15:15]   状态: processing
[00:15:26]   状态: processing
[00:15:38]   状态: processing
[00:15:50]   状态: processing
[00:16:03]   状态: processing
[00:16:14]   状态: processing
[00:16:25]   状态: processing
[00:16:36]   状态: processing
[00:16:46]   状态: processing
[00:16:58]   状态: processing
[00:17:08]   状态: processing
[00:17:20]   状态: processing
[00:17:31]   状态: processing
[00:17:42]   状态: processing
[00:17:54]   状态: processing
[00:18:07]   状态: processing
[00:18:18]   状态: processing
[00:18:30]   状态: processing
[00:18:41]   状态: processing
[00:18:52]   状态: processing
[00:19:05]   状态: processing
[00:19:18]   状态: success
[00:19:18] 下载到 /Users/stevensmac/GMI Wolf/output/wave2/S10_v1.mp4
[00:19:19]   完成 (4.63 MB)
[00:19:19] 尾帧已保存: /Users/stevensmac/GMI Wolf/output/wave2/frames/S10_v1_last.png
[00:19:19] 耗时 374s
