[23:57:43] 提交任务 [happyhorse-1.1-i2v] (duration=8s, res=1080P, neg=304chars, first_frame=base64)
[23:58:02]   request_id = c0ec017b-7363-4982-a2fe-343f2d229309, 初始状态 = queued
[23:58:04]   状态: queued
[23:58:17]   状态: processing
[23:58:28]   状态: processing
[23:58:39]   状态: processing
[23:58:50]   状态: processing
[23:59:01]   状态: processing
[23:59:12]   状态: processing
[23:59:24]   状态: processing
[23:59:35]   状态: processing
[23:59:46]   状态: processing
[23:59:57]   状态: processing
[00:00:08]   状态: processing
[00:00:20]   状态: processing
[00:00:32]   状态: processing
[00:00:44]   状态: processing
[00:00:55]   状态: processing
[00:01:06]   状态: processing
[00:01:19]   状态: processing
[00:01:30]   状态: processing
[00:01:41]   状态: processing
[00:01:55]   状态: processing
[00:02:06]   状态: processing
[00:02:17]   状态: processing
[00:02:30]   状态: processing
[00:02:42]   状态: processing
[00:02:55]   状态: processing
[00:03:06]   状态: processing
[00:03:19]   状态: processing
[00:03:31]   状态: success
[00:03:31] 下载到 /Users/stevensmac/GMI Wolf/output/wave2/S13_v1.mp4
[00:03:32]   完成 (4.69 MB)
[00:03:32] 尾帧已保存: /Users/stevensmac/GMI Wolf/output/wave2/frames/S13_v1_last.png
[00:03:32] 耗时 348s
